mom_id,date,e. Manufacture of dairy products,"(P). MANUFACTURE OF COMPUTER, ELECTRONIC AND OPTICAL PRODUCTS","e. Manufacture of cutlery, hand tools and general hardware",a. Manufacture of structural metal products,d. Manufacture of other porcelain and ceramic products,b. Manufacture of refractory products,h. Manufacture of man-made fibres,f. Manufacture of other textiles,a. Manufacture of tobacco products,(C). MANUFACTURE OF TOBACCO PRODUCTS,h. Manufacture of bakery products,g. Manufacture of starches and starch products,d. Manufacture of games and toys,(V). OTHER MANUFACTURING,n. Manufacture of other special-purpose machinery,b. Manufacture of batteries and accumulators,d. Manufacture of consumer electronics,"e. Manufacture of cement, lime and plaster",a. Manufacture of glass and glass products,g. Manufacture of other chemical products,d. Manufacture of pesticides and other agrochemical products,b. Manufacture of fertilizers and nitrogen compounds,a. Manufacture of electronic components,c. Manufacture of builders carpentry and joinery,c. Manufacture of sports goods,d. Manufacture of vegetable and animal oils and fats,b. Manufacture of musical instruments,(U). MANUFACTURE OF FURNITURE,"(S). MANUFACTURE OF MOTOR VEHICLES, TRAILERS AND SEMI-TRAILERS",j. Manufacture of metal-forming machinery and machine tools,f. Manufacture of lifting and handling equipment,(R). MANUFACTURE OF MACHINERY AND EQUIPMENT,g. Manufacture of other electrical equipment,f. Manufacture of domestic appliances,c. Manufacture of communication equipment,f. Manufacture of other fabricated metal products,"b. Manufacture of tanks, reservoirs and containers of metal",i. Manufacture of non-ferrous metals incl. precious metals,"f. Manufacture of articles of concrete, cement and plaster",c. Manufacture of clay building materials,c. Manufacture of plastics products,(J). MANUFACTURE OF CHEMICALS AND CHEMICAL PRODUCTS,c. Manufacture of other articles of paper and paperboard,(H). MANUFACTURE OF PAPER AND PAPER PRODUCTS,d. Manufacture of wooden containers,b. Manufacture of knitted and crocheted apparel,c. Manufacture of knitted and crocheted fabrics,(A). MANUFACTURE OF FOOD PRODUCTS,c. Manufacture of footwear,"d. Manufacture of bearings, gears, gearing and driving elements","e. Manufacture of cordage, rope, twine and netting",c. Manufacture of motor cycles,b. Manufacture of railway locomotives and rolling stock,(T). MANUFACTURE OF OTHER TRANSPORT EQUIPMENT,h. Manufacture of other general-purpose machinery,"e. Manufacture of ovens, furnaces and furnace burners",(Q). MANUFACTURE OF ELECTRICAL EQUIPMENT,f. Manufacture of watches and clocks,b. Manufacture of computers and peripheral equipment,(M). MANUFACTURE OF OTHER NON-METALLIC MINERAL PRODUCTS,b. Manufacture of other rubber products,(L). MANUFACTURE OF RUBBER AND PLASTICS PRODUCTS,"a. Manufacture of pulp, paper and paperboard",(G). MANUFACTURE OF WOOD AND OF PRODUCTS OF WOOD AND CORK  ,"d. Manufacture of made-up textile articles, except apparel",(D). MANUFACTURE OF TEXTILES,b. Manufacture of malt liquors and malt,p. Manufacture of prepared animal feeds,n. Manufacture of processed ready to eat food,"j. Manufacture of cocoa, chocolate and sugar confectionery",f. Manufacture of grain mill products,"b. Manufacture of luggage, handbags, saddlery and harness",d. Manufacture of bicycles and invalid carriages,e. Manufacture of medical and dental instruments and supplies,(N). MANUFACTURE OF BASIC METALS,l. Manufacture of Tea & Coffee products,a. Manufacture of wines & spirits,III   MANUFACTURED PRODUCTS,a. Manufacture of jewellery and related articles,a. Manufacture of furniture,e. Manufacture of other transport equipment,b. Manufacture of parts and accessories for motor vehicles,a. Manufacture of motor vehicles,i. Manufacture of agricultural and forestry machinery,g. Manufacture of office machinery and equipment,"c. Manufacture of other pumps, compressors, taps and valves",b. Manufacture of fluid power equipment,o. Manufacture of renewable electricity generating equipment,m. Manufacture of Processed condiments & salt,c. Manufacture of plastic and synthetic rubber in primary form,a. Manufacture of basic chemicals,(F). MANUFACTURE OF LEATHER AND RELATED PRODUCTS,"a. Manufacture of wearing apparel (woven), except fur apparel",(E). MANUFACTURE OF WEARING APPAREL,(B). MANUFACTURE OF BEVERAGES,o. Manufacture of Health supplements,h. Manufacture of other non-metallic mineral products,"i. Manufacture of sugar, molasses & honey"
2017-Nov,01-11-2017,160.36,222.23,20.18,102.56,23.91,23.88,28.96,22.82,73.19,73.19,26.81,12.41,0.59,128.3,55.97,27.43,65.98,169.57,33.25,73.31,48.84,160.31,40.16,5.19,1.47,266.22,0.2,84.63,556.94,21.88,29.86,512.17,21.98,43.47,34.75,85.31,83.33,183.24,32.54,10.92,156.96,688.14,36.2,128.66,14,30.57,20.5,1107.58,37.56,37.1,13.27,140.39,12.04,184.79,52.53,0.58,308.73,9.9,44.87,336.87,24.05,240.15,58.68,94.2,35.99,546.66,26.13,49.32,2.95,21.63,264.86,9.44,13.42,6.77,922.73,44.59,45.69,7074.67,119.24,84.63,0.18,252.68,304.9,91.1,0.73,56.48,17.54,3.77,21.03,105.32,153.46,60.98,71.41,101.69,106.61,31.19,16.76,146.35
2017-Dec,01-12-2017,160.02,222.63,20.49,103.44,23.91,23.16,29.4,23.04,73.48,73.48,26.69,12.44,0.59,121.54,55.51,27.41,66.96,170.17,33.03,73.65,49.18,160.45,39.58,5.12,1.46,268.63,0.21,84.35,556.43,21.57,30.02,510.29,22.14,43.47,34.84,84.22,81.71,181.91,32.68,11.1,157.1,693.03,36.24,129.31,13.76,29.95,20.59,1101.52,37.9,37.74,13.04,141.58,12.09,185.96,51.84,0.58,308.73,9.9,44.87,337.76,24.13,239.25,59.46,94.78,36.14,548.11,26.1,49.19,2.96,21.9,264.28,9.56,13.42,6.77,937.31,43.7,45.53,7087.08,112.27,84.35,0.18,252.44,304.63,91.1,0.73,56.64,17.55,3.74,21.24,105.69,156.47,61.8,71.93,101.62,106.97,30.93,17.1,139.28
2018-Jan,01-01-2018,158.78,223.04,20.39,105.58,23.93,23.54,29.43,23.47,73.19,73.19,26.92,12.53,0.59,119.13,56.2,27.45,67.61,170.92,33.39,74.65,49.4,161.27,40.05,5.14,1.46,271.04,0.22,84.07,558.96,22.3,30.11,515.45,21.95,43.58,34.3,84.08,81.84,185.57,33.01,11.7,157.79,698.54,36.76,130.62,13.83,29.67,20.72,1096.34,37.9,36.94,13.06,142.25,12.09,186.96,52.08,0.57,309.86,9.97,44.87,340.75,24.26,239.92,59.89,94.2,36.23,548.59,26.1,49.16,2.93,22.01,263.7,9.5,13.73,6.61,968.28,43.2,45.57,7130.52,109.98,84.07,0.18,255.94,303.54,92.31,0.73,57.26,17.67,3.65,21.08,106.91,159.48,61.29,71.93,101.33,106.97,30.66,17.74,134.57
2018-Feb,01-02-2018,157.76,223.04,20.39,106.75,23.91,22.94,29.46,23.24,73.57,73.57,26.77,12.53,0.59,124.4,56.29,27.53,67.74,172.72,33.28,75.92,49.18,162.92,39.74,5.18,1.47,273.45,0.21,85.82,559.97,22.21,30.05,514.04,21.98,43.54,34.33,85.02,82.23,185.74,32.71,11.27,158.2,704.67,36.85,131.71,13.82,29.73,20.8,1094.61,38.02,36.44,13.05,142.64,12.09,187.46,52.65,0.58,307.89,9.95,44.87,340.15,24.05,240.15,60.52,94.93,36.34,551.01,26.41,50.08,2.95,21.9,266.97,9.59,13.82,6.69,991.05,40.41,45.49,7167.76,115.32,85.82,0.18,256.87,303.27,91.91,0.73,57,17.64,3.64,21.29,108.22,161.13,61.65,71.93,101.47,106.97,30.44,16.83,130.87
2018-Mar,01-03-2018,157.76,222.84,20.43,106.94,23.93,23.5,30.02,23.18,72.75,72.75,26.54,12.52,0.59,119.59,56.25,27.57,67.28,170.17,33.51,76.79,50.12,163.33,39.81,5.21,1.47,281.88,0.21,87.15,560.98,21.43,30.22,514.98,22.06,43.47,34.24,85.59,81.19,184.41,32.95,11.49,158.76,707.11,36.98,131.17,13.74,29.75,21.07,1105.85,37.99,36.97,12.98,139.2,12.09,184.12,52.94,0.58,309.86,9.97,44.87,339.85,24.34,240.82,59.75,94.78,36.2,552.95,26.32,50.21,2.97,21.94,265.05,9.45,13.96,6.7,998.33,44.86,45.29,7186.37,110.42,87.15,0.18,257.81,303.27,91.99,0.73,56.9,17.69,3.66,21.45,107.19,161.95,61.39,71.3,100.82,106.79,31.13,18.08,129.52
2018-Apr,01-04-2018,156.97,224.45,20.47,105.68,23.93,23.73,29.96,23.16,71.83,71.83,26.52,12.41,0.59,120.74,56.29,27.6,67.61,171.67,33.76,76.12,50.64,162.51,39.62,5.21,1.48,287.18,0.21,87.64,563.5,22.05,30.28,515.92,21.87,43.58,35.17,86.53,80.8,185.41,32.49,12.04,160.69,712.01,36.82,131.71,13.79,30.03,21.11,1105.85,38.14,37.2,12.87,139.07,12.09,184.12,52.74,0.58,312.11,10,44.84,344.03,24.45,242.83,60.66,95.21,36.11,556.34,25.79,49.98,2.92,21.9,265.63,9.64,14.01,6.69,1005.62,47.98,45.01,7217.4,111.51,87.64,0.18,259.2,304.9,92.47,0.73,56.53,17.66,3.66,20.82,108.31,164,62.51,73.01,102.87,106.34,30.7,19.9,121.77
2018-May,01-05-2018,156.41,224.25,20.51,106.65,23.95,23.65,30.4,22.65,72.51,72.51,26.56,12.29,0.6,122.45,57.13,27.6,67.41,171.37,33.65,76.79,50.64,163.2,39.93,5.18,1.48,289.11,0.2,88.27,566.03,21.61,30.81,514.98,21.81,43.93,34.93,86.89,81.26,189.9,33.42,11.94,161.24,718.75,37.1,132.58,13.79,30.03,21.26,1099.8,37.8,37.37,12.91,139.2,12.09,184.12,52.49,0.58,311.83,10,44.84,344.62,24.13,242.83,60.95,96.22,36.43,560.21,26.13,50.01,2.92,21.33,265.05,9.64,13.93,6.87,1022.02,47.07,44.93,7254.64,113.03,88.27,0.18,260.37,305.72,92.23,0.73,56.48,17.84,3.66,20.89,110.46,167.56,62.36,72.55,102.35,106.34,30.59,20.07,116.72
2018-Jun,01-06-2018,156.18,224.05,20.59,107.72,23.95,23.99,30.67,22.98,72.99,72.99,26.65,12.23,0.59,122.45,57.22,27.76,68.06,170.02,33.82,77.6,50.51,163.06,39.07,5.21,1.47,290.55,0.2,87.15,564.01,21.61,30.73,517.79,21.93,43.97,35.26,87.03,83.2,190.9,33.34,11.21,162.21,719.97,36.92,132.26,13.59,29.65,21.37,1111.04,37.99,37.1,12.96,139.47,12.09,184.46,53.14,0.58,314.64,10,44.84,343.43,24.21,243.73,61.15,95.72,36.66,562.63,26.37,50.37,2.99,21.61,265.24,9.66,13.99,6.89,1028.39,49.17,45.01,7279.46,113.03,87.15,0.18,258.74,305.99,92.55,0.73,56.69,17.87,3.57,21.24,110.09,168.52,62.77,72.86,102.28,106.43,30.88,20.41,124.02
2018-Jul,01-07-2018,155.28,223.24,20.45,108.7,23.95,23.71,30.64,22.77,72.32,72.32,26.88,12.27,0.59,122.45,57.36,27.85,67.02,171.22,33.82,78.2,51.02,163.88,39.62,5.15,1.48,289.59,0.19,87.64,567.54,22.03,30.64,519.67,21.87,43.9,34.96,88.48,83.78,189.4,33.45,11.37,162.35,724.26,37.01,133.35,13.24,29.26,21.79,1115.36,38.2,37.24,13.04,140.39,12.11,185.46,53.14,0.58,313.8,10.1,44.84,345.52,24.34,245.07,61.54,95.5,37.65,569.9,26.52,50.83,2.91,21.56,266.78,9.77,14.11,6.66,1021.11,48.66,45.25,7304.28,113.36,87.64,0.18,260.84,307.08,93.28,0.73,56.64,17.95,3.56,21.13,110.65,169.48,63.08,72.39,101.47,106.79,31.17,21.28,128.28
2018-Aug,01-08-2018,153.7,227.27,20.55,111.23,23.91,23.58,30.79,23.02,72.7,72.7,26.9,12.29,0.6,115.24,57.59,27.88,68.58,169.42,34.39,78.47,51.02,164.84,39.62,5.15,1.49,286.22,0.2,87.64,572.09,22.72,30.92,521.07,22.04,43.58,34.9,87.61,83.65,186.57,33.67,11.8,161.93,727.32,37.07,133.35,13.15,29.43,21.91,1120.55,38.14,37.5,13,139.73,11.94,184.96,53.14,0.56,314.64,10,47.58,345.22,24.61,245.07,61.78,96.15,38.05,572.8,26.79,51.89,2.93,22.04,272.94,9.69,14.29,6.66,1016.55,48.19,45.33,7310.49,105.95,87.64,0.18,262.23,309.8,94.25,0.73,55.65,18.07,3.56,21.34,111.03,170.71,61.95,72.39,101.62,107.05,31.39,21.59,128.17
2018-Sep,01-09-2018,154.38,226.06,20.55,111.33,23.89,23.63,31.26,23.08,72.61,72.61,26.94,12.35,0.6,122.57,57.55,27.81,67.28,169.72,34.02,78.87,51.58,165.53,39.42,5.15,1.49,286.7,0.19,89.18,570.07,22.96,30.53,522.95,22.24,43.68,35.26,87.83,83.46,186.91,33.64,11.28,162.62,732.22,37.57,134.11,13,29.28,21.62,1119.68,38.39,36.94,13.18,140.79,11.93,185.96,53.23,0.56,313.8,10.08,47.58,344.92,24.88,245.97,62.36,95.5,37.36,574.25,26.57,52.08,2.94,22.11,274.48,9.74,14.33,6.9,1040.24,47.07,45.65,7347.73,113.03,89.18,0.18,261.54,308.71,94.73,0.73,56.38,18.04,3.56,21.33,111.68,172.9,62.36,72.03,101.11,107.32,31.02,21.69,125.59
2018-Oct,01-10-2018,153.59,227.87,20.51,111.23,23.89,23.86,31.55,23.53,72.56,72.56,27.04,12.59,0.6,123.26,57.13,27.83,68.65,169.27,34.64,79.47,51.37,167.04,39.42,5.22,1.5,286.22,0.19,89.32,572.59,22.72,30.87,522.48,22.2,43.29,35.23,90.13,84.04,187.9,33.06,11.28,163.17,737.73,37.69,135.96,12.85,29.32,21.64,1121.41,38.02,36.61,13.25,141.32,11.91,186.46,53.14,0.56,314.36,10.08,47.58,344.32,24.5,245.97,63.81,95.57,37.41,577.16,26.81,52.34,2.94,22.3,275.25,9.89,14.38,6.9,1045.7,47.03,46.09,7378.75,113.79,89.32,0.18,262.93,310.07,94.98,0.73,56.64,18.08,3.56,21.1,112.52,174.68,62.16,72.24,101.33,108.3,31.04,21.7,127.05
2018-Nov,01-11-2018,152.34,227.47,20.59,110.55,23.91,24.06,31.55,23.51,72.41,72.41,26.98,12.81,0.61,122.68,56.99,27.83,68.26,168.82,34.19,79.07,51.84,169.51,39.93,5.26,1.5,280.43,0.2,89.11,573.6,22.72,31.32,524.35,22.1,43.33,34.99,89.27,83.65,187.74,33.28,11.35,163.04,742.01,37.63,136.73,12.92,29.63,21.68,1113.63,38.02,37.3,13.44,141.58,11.89,186.79,53.02,0.56,315.48,10.08,47.58,344.32,24.58,246.19,64.24,96.58,37.41,576.19,26.88,52.8,2.92,21.88,275.44,9.76,14.38,6.9,1038.41,46.83,46.21,7372.55,113.25,89.11,0.18,263.87,310.07,95.22,0.73,56.59,18.08,3.56,21.54,111.87,176.6,62,71.93,101.33,108.93,31.64,21.7,126.49
2018-Dec,01-12-2018,150.54,224.85,20.65,111.13,23.91,23.71,30.46,23.55,72.22,72.22,27.02,13.34,0.6,131.16,57.64,27.69,66.76,169.12,34.81,78.6,51.28,169.79,39.27,5.17,1.51,274.41,0.2,90.72,570.07,22.89,31.48,523.88,22.38,43.22,35.08,89.56,82.55,185.24,33.09,11.35,163.31,734.66,37.38,136.62,13.16,29.54,21.68,1104.98,38.02,36.77,13.13,142.25,11.99,187.63,53.02,0.57,315.77,10.08,47.58,343.73,24.56,246.64,64,96.95,39.01,575.71,26.81,52.28,2.95,21.85,277.18,9.66,14.44,6.89,1022.93,46.35,46.29,7341.52,121.85,90.72,0.18,259.67,310.89,95.3,0.73,56.74,18.07,3.56,21.61,109.34,173.45,61.6,72.24,101.55,108.66,32.44,21.14,123.68
2019-Jan,01-01-2019,152.01,224.65,20.53,111.23,23.91,24.03,30.17,23.33,72.95,72.95,27.08,13.85,0.61,122.45,56.94,27.6,67.54,172.57,35.35,77.93,52.48,168.55,38.72,5.17,1.51,276.58,0.2,91.56,572.09,22.96,31.51,523.88,22.44,43.25,34.99,90.56,82.75,182.41,33.61,11.63,162.48,732.22,37.54,136.18,13.3,29.22,21.49,1110.17,38.27,36.24,13.2,142.78,12.16,188.29,52.7,0.57,315.48,9.86,47.55,346.71,24.82,246.41,63.62,96.8,38.98,576.19,26.85,52.25,2.98,22.04,277.95,9.77,14.45,6.91,1002.89,44.52,46.29,7329.11,112.92,91.56,0.19,263.4,308.98,95.86,0.73,56.9,18.05,3.56,21.87,108.22,171.8,61.85,72.24,101.26,108.75,32.95,19.01,125.03
2019-Feb,01-02-2019,151.78,224.25,20.59,111.23,24.35,23.78,30.37,23.06,73.82,73.82,27.23,14.43,0.6,121.88,58.06,27.41,66.63,176.16,35.75,77.66,52.91,168.97,38.33,5.17,1.47,278.27,0.2,90.02,571.58,23.18,31.32,524.35,22.46,43.18,35.02,90.64,79.83,183.41,33.45,11.62,161.93,732.83,37.47,135.31,13.4,29.17,21.39,1112.76,38.11,36.71,12.97,142.78,12.09,188.29,52.61,0.57,315.2,9.94,47.55,350.29,24.56,245.29,63.37,98.24,38.89,577.16,26.96,52.71,2.94,21.92,277.56,9.58,14.49,6.91,1011.09,43.57,45.77,7335.31,112.38,90.02,0.18,262.93,308.98,95.7,0.73,57.11,18.13,3.56,21.91,107.28,172.22,60.93,71.72,100.67,108.57,34.37,18.56,125.37
2019-Mar,01-03-2019,151.89,224.45,20.63,112.01,24.35,23.63,30.28,22.71,74.45,74.45,27.33,14.63,0.62,122.91,58.7,27.48,66.89,175.71,35.5,77.6,52.61,168.97,38.45,5.64,1.48,273.93,0.2,90.58,570.07,23.27,31.37,526.23,22.36,43.04,34.93,89.99,81.77,184.08,33.47,11.55,162.9,732.22,37.66,134.98,13.62,29.43,21.07,1110.17,38.2,36.41,12.76,143.3,12.16,188.96,52.37,0.57,316.05,10.16,47.55,347.6,24.8,246.41,63.13,97.45,39.07,574.25,26.96,53.03,3,21.9,277.75,9.61,14.56,6.91,1012,44.55,46.21,7341.52,113.47,90.58,0.18,262.93,307.35,96.43,0.73,56.79,18.04,3.54,22.03,108.03,171.53,61.49,72.03,101.26,108.84,34.82,16.37,125.59
2019-Apr,01-04-2019,152.57,224.45,20.59,112.59,24.38,23.11,29.69,22.61,74.16,74.16,27.36,14.81,0.63,122,58.24,27.67,66.31,179.61,35.61,77.39,52.69,168.83,38.14,5.72,1.49,274.41,0.19,89.81,571.58,23.25,31.37,527.16,22.2,43.08,35.02,90.28,82.16,183.24,33.42,12.03,161.66,734.05,38.03,135.09,13.23,29.17,21.26,1118.82,37.8,36.57,13.13,144.76,12.21,190.46,52.41,0.57,317.17,10.16,47.58,349.99,24.74,245.52,62.65,96.37,38.31,578.13,27.08,54.28,2.98,22.13,276.02,9.74,14.58,6.91,1006.53,49.65,46.41,7353.93,112.49,89.81,0.18,262.93,308.98,96.35,0.73,57.21,18.19,3.54,21.94,109.34,171.67,61.49,72.7,101.77,109.46,35.28,14.69,126.71
2019-May,01-05-2019,154.72,224.85,20.63,112.4,24.38,23.05,29.87,22.79,74.16,74.16,27.31,15.24,0.63,119.93,58.33,27.64,66.57,183.65,35.52,77.6,53.12,169.1,38.57,5.75,1.49,272,0.2,90.02,574.61,23.76,31.23,529.04,22.14,43.08,35.08,90.85,81.9,181.58,33.14,11.68,161.24,733.44,38.03,134.11,13.61,29.04,21.77,1123.14,37.31,36.61,13.15,149.39,12.21,194.96,53.72,0.58,315.77,9.94,47.55,353.27,24.8,244.85,62.02,97.16,39.09,579.1,27.3,55.5,2.92,22.04,276.79,9.71,14.39,6.91,998.33,47.41,46.49,7360.14,110.42,90.02,0.19,263.4,311.16,96.35,0.73,57.21,18.18,3.54,22.19,108.5,171.67,60.78,72.39,101.26,109.46,34.88,14.81,131.09
2019-Jun,01-06-2019,157.88,224.45,20.65,111.71,24.38,23.41,29.58,23.1,74.54,74.54,27.54,15.11,0.63,124.52,58.8,27.67,66.5,182.46,35.69,76.73,52.22,169.51,37.91,5.78,1.5,270.8,0.2,92.4,579.16,23.8,31.03,530.44,22.2,43.08,35.05,90.85,80.67,177.92,33.2,11.85,160.83,728.54,37.94,133.56,13.86,28.98,21.91,1130.92,37.03,36.61,13.13,149.52,12.26,195.13,54.57,0.58,312.11,10.09,47.55,352.67,25.2,244.62,61.54,97.02,39.18,578.13,27.56,56.52,3.05,22.16,279.1,9.82,14.38,6.92,990.14,49.51,46.74,7353.93,114.99,92.4,0.19,264.57,314.7,96.67,0.73,57.99,18.16,3.54,21.85,107.1,168.93,60.47,72.24,101.04,110,34.35,14.72,131.65
2019-Jul,01-07-2019,160.02,224.05,20.65,111.23,24.38,23.65,29.25,22.55,73.82,73.82,27.56,15.25,0.62,125.2,58.33,27.64,65.72,180.06,35.61,76.46,53.21,169.65,38.76,5.78,1.5,270.56,0.2,91.84,572.09,23.98,31.23,530.44,22.44,43.11,35.11,89.63,79.05,178.25,33.12,12.11,160.41,724.87,37.6,133.13,14.1,29.17,22.02,1135.24,36.94,37.04,13.19,150.58,12.27,195.96,54,0.58,312.95,10.09,47.55,350.29,25.04,244.17,61.15,97.38,39.09,575.71,27.91,57.53,2.97,21.78,280.25,9.86,14.34,6.92,973.74,49.72,47.22,7322.9,115.75,91.84,0.19,261.3,311.16,96.99,0.73,58.35,18.28,3.54,22.17,106.26,166.05,60.32,71.82,100.82,110.36,36.06,14,131.09
2019-Aug,01-08-2019,161.6,222.03,20.68,111.03,24.38,23.48,29.16,22.75,74.49,74.49,27.56,15.21,0.62,130.93,59.17,27.64,64.42,177.51,36.01,76.32,52.65,168.97,38.14,5.76,1.51,274.41,0.2,92.26,570.57,23.94,31.54,532.32,21.95,43.11,35.2,88.76,79.05,177.92,33.17,11.92,158.48,723.64,37.5,132.37,13.91,29.15,21.98,1145.62,37,36.81,13.26,150.71,12.26,196.3,55.19,0.58,312.11,10.09,47.58,347.9,25.15,242.38,60.62,96.87,39.36,571.83,28,58.19,2.98,21.95,282.18,9.84,14.33,6.96,952.79,48.83,47.3,7310.49,121.53,92.26,0.18,259.44,311.43,97.4,0.73,57.94,18.31,3.54,22.73,106.91,165.92,60.78,71.77,100.74,110.36,35.48,14.06,133.56
2019-Sep,01-09-2019,164.43,221.43,20.72,110.64,24.38,23.46,28.93,23.02,74.83,74.83,27.69,15.33,0.62,130.7,58.66,27.48,63.31,179.61,34.96,76.12,52.61,169.1,38.1,5.8,1.51,278.75,0.2,91.7,574.11,24.11,31.54,532.32,22.16,43.18,35.32,89.48,80.02,177.92,33.25,12.09,158.48,720.58,37.5,131.6,14.14,29.5,22.08,1159.45,37.28,36.41,13.38,151.24,12.27,196.63,55.19,0.58,311.26,9.93,47.58,348.5,25.17,242.16,60.47,96.73,39.3,569.41,28,59.08,2.97,22.02,283.91,9.74,14.3,6.98,950.97,48.9,47.5,7316.7,121.2,91.7,0.19,262.47,311.98,97.8,0.73,58.04,18.28,3.54,23.1,106.35,164.69,60.47,72.29,101.62,110.53,36.71,13.97,134.91
2019-Oct,01-10-2019,164.65,221.22,20.72,110.64,23.99,23.39,28.69,23.02,74.74,74.74,27.77,15.2,0.62,133.68,58.52,27.53,63.25,177.06,34.36,76.12,52.69,168.83,38.26,5.8,1.52,280.92,0.19,92.05,579.16,23.91,31.09,528.1,21.93,43.11,35.29,87.83,81.06,177.09,33.28,12.07,159.45,716.91,37.41,130.95,13.51,29.45,21.94,1163.78,37.03,36.51,13.47,151.38,12.26,196.8,53.14,0.58,312.95,10.09,47.58,344.03,25.17,242.61,59.5,96.44,39.18,567.96,27.91,59.14,2.94,22.18,285.45,9.82,14.31,6.98,941.86,48.49,47.34,7310.49,124.25,92.05,0.19,266.2,313.34,97.96,0.73,57.68,18.3,3.5,23.53,104.85,162.77,60.42,72.03,101.33,109.91,37.24,13.21,134.57
2019-Nov,01-11-2019,166.69,221.02,20.68,110.55,23.95,23.22,28.49,23.04,74.06,74.06,27.9,15.01,0.62,130.01,58.75,27.74,62.01,177.51,34.42,76.32,52.65,169.51,38.06,5.8,1.53,287.66,0.2,90.37,580.67,23.91,31.4,528.57,21.87,43.04,35.68,88.98,81.45,177.59,33.5,12.16,158.07,713.24,37.38,130.51,13.05,29.3,21.85,1170.69,37.37,35.68,13.75,151.77,12.26,197.47,53.23,0.59,315.48,10.16,47.55,344.92,25.17,241.04,59.31,96.01,39.07,564.09,27.63,58.52,2.98,21.88,285.07,9.82,14.58,6.98,941.86,48.49,47.54,7310.49,120.44,90.37,0.19,267.6,313.34,97.64,0.73,57.68,18.27,3.49,24.01,103.64,160.17,60.78,72.39,101.47,110.36,36.44,13.21,134.12
2019-Dec,01-12-2019,168.83,221.43,20.72,109.86,24.12,22.88,28.34,22.67,73.09,73.09,28.04,14.85,0.63,131.05,58.52,27.29,62.92,176.76,35.52,76.06,52.18,170.2,38.06,5.85,1.53,304.53,0.2,91.14,582.19,24.16,31.4,529.51,22.12,43.08,35.71,89.12,81,176.09,33.53,12.21,159.03,711.4,37.13,129.64,13,29.43,21.87,1184.53,37.15,36.44,13.73,151.77,12.26,197.47,52.65,0.59,311.83,10.16,47.55,344.32,25.12,242.16,59.36,95.94,39.27,561.67,27.78,57.7,2.99,22.09,283.91,9.79,14.58,6.98,943.68,47.03,47.62,7322.9,121.53,91.14,0.19,269.46,312.79,97.8,0.73,57.78,18.28,3.48,23.76,101.95,159.89,60.37,72.7,101.91,110.36,35.51,12.54,133.9
2020-Jan,01-01-2020,170.98,220.82,20.98,110.06,24.44,23.24,28.19,22.69,73.57,73.57,28.27,15.12,0.61,130.47,58.38,27.43,63.05,176.61,35.84,75.92,52.05,168.55,37.91,5.86,1.54,317.06,0.2,92.96,585.72,23.98,31.34,530.44,22.08,42.32,35.08,89.63,80.54,177.92,33.61,12.3,158.34,711.4,37.1,131.17,13.12,29.22,21.89,1195.77,36.97,36.94,13.86,152.44,12.3,197.97,52.17,0.59,311.83,10.22,47.55,344.92,24.93,241.94,59.31,95.79,38.66,563.6,27.89,57.43,3.01,21.7,283.14,9.8,14.33,7,970.1,44.18,47.5,7372.55,120.98,92.96,0.19,269.23,316.6,97.8,0.73,58.35,18.28,3.48,23.78,103.64,159.89,59.86,71.87,100.89,110.71,34.95,12.15,134.91
2020-Feb,01-02-2020,170.53,220.42,20.8,109.86,24.42,23.24,28.25,22.81,75.03,75.03,28.42,14.82,0.62,134.02,58.84,27.27,62.79,178.86,35.64,75.99,52.14,168.14,38.18,5.86,1.53,311.51,0.2,91.84,583.7,24.31,31.2,530.44,22.32,42.25,34.54,88.55,79.76,175.92,33.72,12.09,158.07,708.95,37.16,131.17,13.03,29.32,21.68,1184.53,37,35.84,13.75,155.61,12.16,200.97,52.45,0.59,311.54,10.25,47.55,347.3,25.01,241.49,59.79,95.72,38.69,566.02,27.94,55.83,3.02,21.82,281.41,9.91,14.34,7.01,974.65,42.86,47.82,7372.55,124.57,91.84,0.19,267.6,316.33,98.04,0.73,58.09,18.21,3.48,24.58,102.23,160.31,60.22,71.98,101.11,110.53,34.77,12.15,133.78
2020-Mar,01-03-2020,171.77,221.83,20.78,110.55,23.91,23.07,28.13,22.94,74.78,74.78,28.44,14.62,0.63,137.23,58.29,27.38,64.42,178.26,35.15,76.52,52.27,169.24,38.14,5.86,1.53,306.7,0.2,92.33,583.7,24.29,31.17,530.91,22.24,42.25,34.51,88.33,81.13,175.75,33.53,12.68,157.93,707.11,37.32,131.27,13.24,29.47,21.58,1180.2,36.69,37.4,13.91,155.61,12.09,200.97,52.41,0.59,313.8,10.26,47.55,346.11,24.61,240.37,59.7,95.79,38.57,565.05,28.14,54.51,3.02,21.68,281.6,9.96,14.33,7.01,965.54,44.04,47.98,7360.14,127.73,92.33,0.19,267.36,316.87,98.13,0.73,57.16,18.25,3.42,24.53,101.11,158.25,59.91,72.08,101.33,111.16,34.88,12.15,133
